ID,Input_Length_Chars,TTFT_ms,TPOT_ms,E2E_Latency_ms,Tokens_Generated,Tokens_Per_Second
1,69,237.7040386,24.76679362,881.6406727,27,30.62472143
2,114,163.5642052,26.12793446,842.890501,27,32.03263053
3,249,382.1184635,26.32245651,1066.502333,27,25.31640032
4,474,633.895874,26.02638648,1310.581923,27,20.6015355
5,699,621.9005585,25.26622552,1278.822422,27,21.11317376
6,924,659.2111588,26.78433748,1355.603933,27,19.91732197
7,1374,1317.085981,26.97358682,2018.399239,27,13.37693727
8,1824,1385.818243,27.8371114,2109.583139,27,12.7987371
9,2274,1432.4224,28.35660714,2169.694185,27,12.44415005
10,2724,1493.418932,51.97209578,2844.693422,27,9.491356709
